ts_event,open,high,low,close,volume
2020-01-02 09:00:00+00:00,421.89,423.0,421.0,422.24,3644
2020-01-02 10:00:00+00:00,422.6,423.46,422.16,422.85,1995
2020-01-02 11:00:00+00:00,422.7,423.33,422.5,423.2,2581
2020-01-02 12:00:00+00:00,423.2,424.9,422.11,424.8,13276
2020-01-02 13:00:00+00:00,424.69,427.45,424.66,426.35,42674
2020-01-02 14:00:00+00:00,426.3,428.0,421.77,424.61,615096
2020-01-02 15:00:00+00:00,424.64,427.0,422.62,424.0,375268
2020-01-02 16:00:00+00:00,423.93,426.97,423.31,426.45,234688
2020-01-02 17:00:00+00:00,426.42,428.42,425.35,427.85,210853
2020-01-02 18:00:00+00:00,427.93,429.89,427.7,429.37,251542
2020-01-02 19:00:00+00:00,429.39,430.69,428.68,430.3,231327
2020-01-02 20:00:00+00:00,430.25,430.46,428.35,430.24,317704
2020-01-02 21:00:00+00:00,430.26,430.4,430.0,430.22,76445
2020-01-02 22:00:00+00:00,430.12,430.88,430.1,430.8,3307
2020-01-02 23:00:00+00:00,430.89,431.0,430.89,431.0,2356
2020-01-03 09:00:00+00:00,425.99,430.87,422.55,423.99,13935
2020-01-03 10:00:00+00:00,423.99,424.68,421.17,421.4,7196
2020-01-03 11:00:00+00:00,421.51,423.5,421.51,423.25,8018
2020-01-03 12:00:00+00:00,423.31,426.35,422.8,425.48,19915
2020-01-03 13:00:00+00:00,425.4,440.5,425.4,436.89,251646
2020-01-03 14:00:00+00:00,436.98,454.0,436.94,446.6,1477608
2020-01-03 15:00:00+00:00,446.52,451.2,444.34,449.19,650342
2020-01-03 16:00:00+00:00,449.25,450.15,446.8,448.59,307356
2020-01-03 17:00:00+00:00,448.55,449.11,444.69,446.4,310667
2020-01-03 18:00:00+00:00,446.4,446.76,440.9,445.6,315719
2020-01-03 19:00:00+00:00,445.58,446.11,442.95,445.775,203847
2020-01-03 20:00:00+00:00,445.71,447.51,442.15,442.75,561933
2020-01-03 21:00:00+00:00,443.01,443.5,441.75,442.5,139865
2020-01-03 22:00:00+00:00,442.51,442.81,442.3,442.5,2086
2020-01-03 23:00:00+00:00,442.51,442.51,442.1,442.33,1975
2020-01-06 09:00:00+00:00,438.0,439.51,437.39,439.05,9131
2020-01-06 10:00:00+00:00,439.05,440.79,438.51,439.01,6935
2020-01-06 11:00:00+00:00,439.4,439.4,437.7,438.44,4715
2020-01-06 12:00:00+00:00,438.44,441.66,438.0,441.66,16010
2020-01-06 13:00:00+00:00,441.7,443.0,440.35,441.38,20401
2020-01-06 14:00:00+00:00,441.36,447.02,439.27,442.26,676553
